,word_count2,char_count1,char_count2,avg_word1,avg_word2,stopwords_sen1,numerics_1,numerics_2,word_count1,jacard,cosin_sim,sent1_nouns,sent2_nouns,sentiment_sent1,sentiment_sent2,Verb_sent1,verb_sent2,neg_sent1_review,neg_sent2_review
0,17,81,76,3.5555555555555554,3.5294117647058822,9,0,0,18,0.75,0.8593378488473193,4,3,0.1,0.0,2,2,11,11
1,18,90,81,4.055555555555555,3.5555555555555554,10,0,0,18,0.5789473684210527,0.7333333333333332,4,4,0.0,0.1,2,2,12,11
2,11,65,53,4.5,3.909090909090909,4,0,0,12,0.3125,0.4767312946227962,2,2,0.1,0.2,2,1,6,6
3,18,53,81,3.909090909090909,3.5555555555555554,4,0,0,11,0.25,0.40824829046386296,2,4,0.2,0.1,1,2,6,11
4,18,65,81,4.5,3.5555555555555554,4,0,0,12,0.23809523809523808,0.3892494720807615,2,4,0.1,0.1,2,2,6,11
5,6,21,34,4.5,4.833333333333333,1,0,0,4,0.42857142857142855,0.6123724356957946,2,2,0.0,0.0,0,1,2,3
6,4,68,21,3.9285714285714284,4.5,5,0,0,14,0.0625,0.1386750490563073,4,2,0.0,0.0,1,0,6,2
7,6,68,34,3.9285714285714284,4.833333333333333,5,0,0,14,0.05555555555555555,0.11322770341445959,4,2,0.0,0.0,1,1,6,3
8,12,41,57,4.25,3.8333333333333335,3,0,0,8,0.125,0.22360679774997896,3,3,0.0,-0.16666666666666666,1,0,4,6
9,12,43,54,3.888888888888889,3.5833333333333335,3,0,0,9,0.1875,0.31622776601683794,2,4,0.0,-0.16666666666666666,1,0,5,6
10,9,59,43,4.0,3.888888888888889,6,0,0,12,0.26666666666666666,0.4216370213557839,3,2,-0.16666666666666666,0.0,0,1,6,5
11,15,60,68,3.6923076923076925,3.6,6,0,0,13,0.7142857142857143,0.836242010007091,5,3,-0.4,-0.4,0,0,6,7
12,17,60,83,3.6923076923076925,3.9411764705882355,6,0,0,13,0.25,0.4029114820126901,5,6,-0.4,0.0,0,1,6,11
13,13,78,60,4.266666666666667,3.6923076923076925,8,0,0,15,0.2777777777777778,0.4351941398892446,5,5,0.0,-0.4,1,0,9,6
14,8,57,53,5.444444444444445,5.75,4,0,0,9,0.875,0.9354143466934851,1,1,0.0,0.0,2,2,6,5
15,8,50,44,4.666666666666667,4.625,3,0,0,9,0.7,0.8249579113843054,2,2,0.1,0.0,2,2,4,4
16,8,54,44,4.5,4.625,4,0,0,10,0.6363636363636364,0.7826237921249264,2,2,0.1,0.0,2,2,5,4
17,10,53,54,5.75,4.5,3,0,0,8,0.21428571428571427,0.3585685828003181,1,2,0.0,0.1,2,2,5,5
18,9,44,57,4.625,5.444444444444445,3,0,0,8,0.23076923076923078,0.3749999999999999,2,1,0.0,0.0,2,2,4,6
19,7,36,36,4.285714285714286,4.285714285714286,3,0,0,7,0.75,0.8571428571428569,3,3,0.0,0.0,0,0,3,3
20,7,36,36,4.285714285714286,4.285714285714286,3,0,0,7,0.75,0.8571428571428569,2,3,0.0,0.0,1,0,4,3
21,7,48,36,4.444444444444445,4.285714285714286,4,0,0,9,0.36363636363636365,0.5345224838248487,3,2,0.0,0.0,1,1,5,4
22,7,48,36,4.444444444444445,4.285714285714286,4,0,0,9,0.36363636363636365,0.5345224838248487,3,3,0.0,0.0,1,0,5,3
23,12,48,61,4.444444444444445,4.166666666666667,3,0,0,9,0.7272727272727273,0.8432740427115678,0,0,0.0,0.0,3,3,5,7
24,13,57,68,4.2727272727272725,4.3076923076923075,5,0,0,11,0.6153846153846154,0.762770071396474,1,1,0.0,0.0,3,2,6,8
25,9,68,48,4.3076923076923075,4.444444444444445,5,0,0,13,0.5384615384615384,0.7035264706814485,1,0,0.0,0.0,2,3,8,5
26,13,61,68,4.166666666666667,4.3076923076923075,5,0,0,12,0.75,0.8581163303210333,0,1,0.0,0.0,3,2,7,8
27,11,87,59,4.866666666666666,4.454545454545454,8,0,0,15,0.6428571428571429,0.7893522173763263,1,1,0.0,0.0,4,2,9,7
28,14,87,90,4.866666666666666,5.5,8,0,0,15,0.6666666666666666,0.8006407690254358,1,1,0.0,0.0,4,3,9,8
29,15,74,87,4.769230769230769,4.866666666666666,7,0,0,13,0.3888888888888889,0.5604485383178051,1,1,0.0,0.0,2,4,6,9
